balance,balance_thousands,age,accounts,tenure_year,calls_semester,logons_semester
26325.95,26.33,27.0,2.0,4.0,0.0,3.0
284508.65,284.51,70.5,2.0,6.0,4.0,7.0
32966.0,32.97,19.5,2.0,7.0,3.0,6.0
104771.87,104.77,29.0,2.0,21.0,2.0,5.0
91654.77,91.65,59.0,2.0,4.0,2.0,5.0
44377.89,44.38,49.5,2.0,4.0,2.0,5.0
28955.73,28.96,33.5,2.0,7.0,6.0,9.0
43999.16,44.0,24.5,2.0,5.0,6.0,9.0
69474.36,69.47,35.0,2.0,7.0,1.0,4.0
35703.21,35.7,75.0,2.0,5.0,6.0,9.0
48064.32,48.06,71.5,2.0,30.0,1.0,4.0
35943.22,35.94,18.0,2.0,5.0,0.0,3.0
31457.82,31.46,24.0,2.0,4.0,4.0,7.0
124717.91,124.72,26.0,3.0,14.0,5.0,8.0
87533.5,87.53,54.5,2.0,6.0,3.0,6.0
140652.4,140.65,68.0,2.0,25.0,2.0,5.0
62691.24,62.69,50.5,3.0,5.0,5.0,8.0
39000.38,39.0,48.0,2.0,7.0,0.0,3.0
44984.05,44.98,30.5,2.0,13.0,3.0,6.0
26286.31,26.29,38.5,2.0,12.0,1.0,4.0
51134.65,51.13,61.5,2.0,7.0,0.0,3.0
151145.41,151.15,50.0,2.0,9.0,2.0,5.0
33234.64,33.23,36.0,2.0,14.0,0.0,3.0
31223.49,31.22,33.5,2.0,10.0,2.0,5.0
39152.61,39.15,29.0,2.0,4.0,2.0,5.0
69438.98,69.44,32.5,4.0,7.0,6.0,9.0
49735.25,49.74,18.5,3.0,6.0,6.0,9.0
104200.75,104.2,73.0,2.0,26.0,3.0,6.0
119399.34,119.4,52.0,2.0,5.0,0.0,3.0
105556.09,105.56,58.0,2.0,17.0,0.0,3.0
122612.69,122.61,39.0,2.0,12.0,2.0,5.0
56076.2,56.08,49.5,2.0,15.0,4.0,7.0
26258.77,26.26,27.5,2.0,8.0,4.0,7.0
406125.08,406.13,62.5,2.0,7.0,3.0,6.0
52729.51,52.73,23.0,2.0,5.0,2.0,5.0
115973.16,115.97,36.0,3.0,12.0,6.0,9.0
34231.45,34.23,22.5,2.0,5.0,2.0,5.0
287596.87,287.6,53.0,4.0,33.0,4.0,7.0
56490.0,56.49,29.0,2.0,5.0,6.0,9.0
74261.24,74.26,63.0,2.0,28.0,5.0,8.0
29932.66,29.93,64.5,2.0,7.0,3.0,6.0
27009.23,27.01,34.5,2.0,15.0,6.0,9.0
71870.81,71.87,65.0,2.0,7.0,1.0,4.0
27032.26,27.03,26.0,2.0,5.0,2.0,5.0
121347.82,121.35,79.0,2.0,16.0,1.0,4.0
611520.05,611.52,50.5,2.0,10.0,4.0,7.0
36994.94,36.99,51.5,2.0,15.0,0.0,3.0
130099.02,130.1,60.5,3.0,8.0,3.0,6.0
164023.94,164.02,62.5,2.0,6.0,2.0,5.0
561725.24,561.73,52.5,3.0,23.0,5.0,8.0
29899.3,29.9,32.5,2.0,15.0,2.0,5.0
519751.55,519.75,61.5,2.0,6.0,6.0,9.0
319008.0,319.01,66.5,2.0,6.0,6.0,9.0
755574.17,755.57,69.0,3.0,28.0,6.0,9.0
248332.28,248.33,74.0,2.0,13.0,6.0,9.0
120557.71,120.56,30.0,2.0,10.0,4.0,7.0
125873.44,125.87,30.0,4.0,16.0,6.0,9.0
123189.2,123.19,61.0,2.0,14.0,2.0,5.0
27577.82,27.58,24.5,2.0,11.0,0.0,3.0
44719.58,44.72,40.5,2.0,4.0,3.0,6.0
855131.99,855.13,58.5,3.0,20.0,3.0,6.0
98301.03,98.3,49.0,2.0,15.0,6.0,9.0
30750.6,30.75,21.5,2.0,5.0,4.0,7.0
44233.9,44.23,31.0,2.0,15.0,0.0,3.0
140020.98,140.02,51.0,2.0,21.0,0.0,3.0
209727.42,209.73,47.5,2.0,21.0,2.0,5.0
66456.05,66.46,24.5,2.0,9.0,6.0,9.0
35092.13,35.09,59.0,2.0,15.0,3.0,6.0
36715.36,36.72,23.5,2.0,5.0,5.0,8.0
42085.75,42.09,31.5,2.0,5.0,6.0,9.0
31139.19,31.14,19.5,2.0,6.0,2.0,5.0
43104.64,43.1,57.0,2.0,7.0,2.0,5.0
83448.77,83.45,52.0,2.0,12.0,0.0,3.0
398634.27,398.63,66.0,2.0,20.0,6.0,9.0
258133.49,258.13,66.0,2.0,19.0,5.0,8.0
61600.1,61.6,29.5,2.0,6.0,6.0,9.0
305471.03,305.47,64.5,2.0,15.0,6.0,9.0
47466.69,47.47,30.5,2.0,25.0,2.0,5.0
43246.11,43.25,78.5,2.0,24.0,4.0,7.0
136334.76,136.33,43.5,2.0,6.0,1.0,5.0
39278.02,39.28,57.0,2.0,5.0,6.0,9.0
27466.59,27.47,20.5,2.0,16.0,0.0,3.0
32017.72,32.02,62.0,2.0,7.0,3.0,6.0
74400.15,74.4,72.0,2.0,34.0,4.0,7.0
28474.35,28.47,48.0,2.0,5.0,3.0,6.0
113772.28,113.77,59.0,2.0,21.0,4.0,7.0
85615.82,85.62,51.0,2.0,9.0,5.0,8.0
98501.13,98.5,31.0,4.0,12.0,2.0,5.0
60789.65,60.79,26.0,4.0,4.0,6.0,9.0
33561.76,33.56,43.0,2.0,15.0,0.0,3.0
25136.17,25.14,27.0,2.0,6.0,1.0,4.0
153691.63,153.69,24.0,3.0,22.0,6.0,9.0
199703.92,199.7,36.0,3.0,5.0,6.0,9.0
38517.31,38.52,70.0,2.0,7.0,2.0,6.0
151776.45,151.78,34.5,2.0,13.0,5.0,8.0
43111.06,43.11,66.0,3.0,22.0,5.0,8.0
64847.12,64.85,25.5,3.0,12.0,2.0,5.0
1028145.79,1028.15,68.0,2.0,22.0,5.0,9.0
23906.68,23.91,32.5,2.0,13.0,1.0,4.0
333495.06,333.5,54.0,3.0,23.0,1.0,4.0
44071.75,44.07,25.5,2.0,5.0,6.0,9.0
179283.64,179.28,37.5,2.0,8.0,6.0,9.0
180578.01,180.58,28.5,3.0,6.0,6.0,9.0
1126345.07,1126.35,72.5,2.0,22.0,4.0,8.0
157263.01,157.26,34.5,3.0,4.0,5.0,8.0
1611860.32,1611.86,67.5,2.0,24.0,4.0,7.0
32934.41,32.93,26.5,2.0,5.0,2.0,5.0
42529.62,42.53,39.0,2.0,13.0,0.0,3.0
27030.51,27.03,48.5,2.0,9.0,0.0,3.0
128033.35,128.03,71.5,2.0,15.0,0.0,4.0
158266.3,158.27,84.5,2.0,4.0,0.0,3.0
24990.73,24.99,28.5,2.0,14.0,0.0,3.0
188062.52,188.06,67.0,2.0,14.0,0.0,3.0
54397.0,54.4,20.5,2.0,5.0,4.0,7.0
37347.31,37.35,25.5,3.0,22.0,2.0,5.0
108387.85,108.39,55.5,3.0,8.0,3.0,6.0
27759.98,27.76,64.5,2.0,15.0,2.0,5.0
42594.85,42.59,35.0,2.0,9.0,1.0,4.0
154928.31,154.93,83.0,2.0,26.0,4.0,8.0
40200.67,40.2,30.0,2.0,6.0,4.0,7.0
34946.02,34.95,28.0,2.0,8.0,2.0,5.0
36879.37,36.88,24.5,2.0,9.0,5.0,8.0
190097.41,190.1,42.5,2.0,14.0,3.0,6.0
218591.48,218.59,36.0,2.0,3.0,5.0,8.0
47222.0,47.22,28.5,2.0,8.0,1.0,4.0
53993.47,53.99,52.5,2.0,6.0,4.0,7.0
43307.39,43.31,55.5,2.0,13.0,6.0,9.0
29978.94,29.98,49.5,2.0,16.0,0.0,3.0
102576.06,102.58,44.5,2.0,6.0,6.0,9.0
187293.94,187.29,25.0,2.0,7.0,6.0,9.0
88034.6,88.03,64.0,2.0,14.0,1.0,4.0
186893.95,186.89,60.0,2.0,23.0,4.0,7.0
27545.04,27.55,40.5,2.0,6.0,1.0,4.0
454122.22,454.12,64.5,3.0,5.0,2.0,5.0
3592350.6,3592.35,51.5,3.0,24.0,6.0,9.0
186162.66,186.16,51.5,3.0,13.0,6.0,9.0
58495.2,58.5,67.5,2.0,20.0,3.0,6.0
180002.58,180.0,73.5,2.0,15.0,6.0,9.0
34731.64,34.73,27.0,2.0,12.0,2.0,5.0
89742.39,89.74,41.5,2.0,8.0,2.0,5.0
458996.0,459.0,71.0,4.0,6.0,1.0,4.0
49165.89,49.17,68.0,2.0,14.0,6.0,9.0
52130.54,52.13,39.5,2.0,7.0,2.0,5.0
277156.01,277.16,59.0,2.0,6.0,3.0,6.0
38987.62,38.99,33.0,2.0,6.0,2.0,5.0
109605.55,109.61,36.0,3.0,13.0,0.0,3.0
268170.91,268.17,67.0,2.0,15.0,5.0,8.0
57761.75,57.76,48.5,2.0,7.0,5.0,8.0
34545.63,34.55,37.5,2.0,6.0,1.0,4.0
158187.8,158.19,66.0,2.0,30.0,0.0,3.0
24024.42,24.02,48.5,2.0,23.0,0.0,3.0
52391.72,52.39,48.0,2.0,9.0,3.0,6.0
66131.56,66.13,23.0,2.0,13.0,6.0,9.0
170339.15,170.34,36.5,2.0,17.0,3.0,6.0
134244.77,134.24,56.0,2.0,7.0,1.0,4.0
93247.7,93.25,48.5,4.0,8.0,5.0,8.0
691559.37,691.56,55.0,2.0,5.0,6.0,9.0
50714.9,50.71,27.0,2.0,4.0,1.0,4.0
45810.39,45.81,37.5,2.0,5.0,0.0,3.0
48474.08,48.47,49.5,2.0,5.0,0.0,3.0
48682.92,48.68,27.5,2.0,7.0,6.0,9.0
37376.93,37.38,75.5,2.0,10.0,5.0,8.0
25074.65,25.07,67.5,2.0,6.0,0.0,4.0
39306.3,39.31,26.5,2.0,6.0,3.0,6.0
588428.6,588.43,82.0,3.0,11.0,6.0,9.0
37212.16,37.21,49.5,2.0,6.0,5.0,8.0
631622.26,631.62,59.5,3.0,6.0,6.0,9.0
23884.45,23.88,57.0,2.0,16.0,1.0,4.0
142206.99,142.21,52.5,4.0,15.0,6.0,9.0
347068.21,347.07,45.0,2.0,11.0,1.0,4.0
54965.12,54.97,63.0,2.0,6.0,3.0,6.0
39321.25,39.32,21.5,3.0,14.0,3.0,6.0
382688.8,382.69,64.0,2.0,9.0,6.0,9.0
113136.14,113.14,62.0,2.0,14.0,4.0,7.0
199513.62,199.51,67.0,3.0,4.0,6.0,9.0
54259.31,54.26,54.0,2.0,7.0,2.0,5.0
267724.02,267.72,56.0,3.0,22.0,5.0,8.0
45130.64,45.13,25.5,2.0,5.0,2.0,5.0
115174.65,115.17,52.5,2.0,15.0,0.0,3.0
38119.6,38.12,35.0,2.0,8.0,2.0,5.0
207130.2,207.13,67.0,2.0,12.0,2.0,8.0
38435.31,38.44,54.0,2.0,9.0,0.0,3.0
74522.88,74.52,29.0,2.0,9.0,0.0,3.0
1141567.99,1141.57,56.0,2.0,9.0,2.0,5.0
63483.12,63.48,38.5,2.0,6.0,6.0,9.0
50481.2,50.48,53.0,3.0,16.0,5.0,8.0
37371.97,37.37,60.0,2.0,9.0,4.0,7.0
36268.28,36.27,33.0,2.0,8.0,2.0,5.0
110883.95,110.88,43.0,2.0,15.0,2.0,5.0
336818.47,336.82,64.5,2.0,28.0,6.0,9.0
29375.05,29.38,42.0,2.0,14.0,0.0,3.0
222098.48,222.1,49.5,2.0,30.0,5.0,8.0
1798128.05,1798.13,53.0,3.0,22.0,4.0,7.0
701200.82,701.2,51.5,4.0,6.0,6.0,9.0
44105.59,44.11,45.0,2.0,18.0,1.0,4.0
247624.33,247.62,50.5,2.0,18.0,4.0,7.0
71178.73,71.18,18.0,2.0,23.0,6.0,9.0
59235.93,59.24,37.0,2.0,8.0,3.0,6.0
41783.22,41.78,52.5,2.0,22.0,0.0,3.0
143236.3,143.24,66.5,3.0,17.0,6.0,9.0
61233.8,61.23,53.5,2.0,6.0,5.0,8.0
2631231.57,2631.23,56.0,3.0,26.0,4.0,7.0
45196.03,45.2,41.5,2.0,4.0,1.0,4.0
187420.08,187.42,75.0,3.0,20.0,5.0,8.0
38610.9,38.61,53.0,2.0,6.0,4.0,7.0
47520.07,47.52,38.5,2.0,12.0,4.0,7.0
44823.39,44.82,32.0,2.0,5.0,0.0,3.0
29708.57,29.71,31.0,2.0,12.0,1.0,4.0
73475.01,73.48,56.0,2.0,15.0,5.0,8.0
465078.96,465.08,52.0,2.0,9.0,5.0,8.0
60145.01,60.15,53.5,2.0,26.0,4.0,7.0
56658.28,56.66,34.5,3.0,6.0,3.0,6.0
77293.53,77.29,33.5,2.0,12.0,3.0,6.0
80740.8,80.74,44.5,2.0,22.0,1.0,4.0
29301.43,29.3,27.0,2.0,12.0,1.0,4.0
306741.86,306.74,88.5,2.0,4.0,1.0,5.0
40087.68,40.09,46.5,3.0,6.0,6.0,9.0
75376.74,75.38,25.5,4.0,5.0,0.0,3.0
34598.48,34.6,61.0,2.0,5.0,1.0,4.0
44934.26,44.93,41.0,2.0,15.0,0.0,3.0
538260.91,538.26,74.0,5.0,25.0,6.0,9.0
218046.78,218.05,59.0,2.0,13.0,6.0,9.0
162234.59,162.23,65.5,2.0,14.0,3.0,6.0
37890.43,37.89,70.0,2.0,13.0,0.0,3.0
222410.0,222.41,76.5,2.0,16.0,3.0,6.0
81254.02,81.25,39.0,3.0,5.0,5.0,8.0
44559.36,44.56,30.5,2.0,4.0,5.0,8.0
471028.96,471.03,65.5,3.0,30.0,5.0,8.0
72046.76,72.05,56.5,2.0,8.0,2.0,5.0
42906.29,42.91,68.5,2.0,19.0,6.0,9.0
57748.3,57.75,53.0,2.0,9.0,4.0,7.0
34151.78,34.15,39.0,2.0,11.0,0.0,3.0
366632.27,366.63,62.5,2.0,21.0,5.0,8.0
534647.16,534.65,64.5,3.0,4.0,5.0,8.0
87989.77,87.99,51.0,2.0,8.0,2.0,5.0
153813.59,153.81,38.5,2.0,14.0,1.0,4.0
61924.57,61.92,32.0,3.0,14.0,4.0,7.0
220863.32,220.86,55.0,2.0,5.0,5.0,8.0
45711.36,45.71,38.5,2.0,6.0,6.0,9.0
32549.62,32.55,49.0,2.0,14.0,2.0,5.0
59061.02,59.06,25.5,2.0,4.0,3.0,6.0
34783.61,34.78,54.5,2.0,14.0,1.0,4.0
44267.27,44.27,48.5,2.0,22.0,1.0,4.0
449978.18,449.98,65.5,2.0,14.0,3.0,6.0
49327.16,49.33,55.0,2.0,6.0,1.0,4.0
53886.83,53.89,25.0,3.0,5.0,1.0,4.0
49031.14,49.03,21.0,2.0,14.0,6.0,9.0
159232.35,159.23,33.0,2.0,7.0,0.0,3.0
232714.99,232.71,49.5,3.0,13.0,3.0,6.0
91312.91,91.31,60.5,2.0,18.0,6.0,9.0
160955.53,160.96,58.5,2.0,15.0,4.0,7.0
92011.77,92.01,41.5,2.0,3.0,3.0,6.0
65889.68,65.89,35.5,2.0,5.0,2.0,5.0
26316.73,26.32,30.5,2.0,4.0,2.0,5.0
70894.28,70.89,60.5,2.0,7.0,3.0,6.0
40909.64,40.91,44.0,2.0,14.0,3.0,6.0
37543.16,37.54,31.0,2.0,6.0,6.0,9.0
321327.53,321.33,70.5,2.0,14.0,4.0,7.0
47340.11,47.34,52.0,2.0,7.0,5.0,8.0
30693.0,30.69,64.0,2.0,10.0,1.0,4.0
49456.82,49.46,56.0,2.0,6.0,3.0,6.0
141016.92,141.02,65.0,3.0,20.0,2.0,5.0
56445.87,56.45,55.5,2.0,5.0,3.0,6.0
33347.63,33.35,34.0,2.0,7.0,5.0,8.0
36836.85,36.84,26.0,2.0,7.0,6.0,9.0
324940.4,324.94,64.0,3.0,8.0,4.0,8.0
65648.53,65.65,65.0,2.0,10.0,5.0,8.0
34405.31,34.41,19.0,2.0,4.0,3.0,6.0
368899.9,368.9,73.0,2.0,18.0,6.0,9.0
106202.83,106.2,77.0,2.0,7.0,1.0,4.0
34510.48,34.51,61.5,2.0,15.0,4.0,7.0
75927.02,75.93,25.0,2.0,7.0,6.0,9.0
32382.92,32.38,64.0,2.0,7.0,2.0,5.0
224927.3,224.93,51.5,2.0,7.0,3.0,6.0
49827.21,49.83,45.0,2.0,10.0,0.0,3.0
139030.2,139.03,44.5,2.0,8.0,0.0,3.0
46670.26,46.67,60.5,2.0,13.0,0.0,3.0
84794.29,84.79,53.5,2.0,4.0,4.0,7.0
125732.66,125.73,64.0,2.0,11.0,2.0,5.0
51056.06,51.06,32.0,2.0,5.0,6.0,9.0
61693.2,61.69,75.0,2.0,15.0,4.0,7.0
171452.11,171.45,73.0,3.0,28.0,6.0,9.0
99965.01,99.97,46.5,2.0,20.0,2.0,5.0
28704.21,28.7,25.5,2.0,5.0,2.0,5.0
50003.83,50.0,25.5,2.0,6.0,5.0,8.0
36771.79,36.77,25.5,3.0,9.0,1.0,4.0
31512.96,31.51,53.5,2.0,5.0,0.0,3.0
166466.91,166.47,56.0,2.0,4.0,6.0,9.0
28732.4,28.73,24.5,2.0,3.0,6.0,9.0
85690.19,85.69,54.5,3.0,7.0,0.0,3.0
237788.31,237.79,63.5,2.0,10.0,3.0,6.0
30033.12,30.03,29.5,2.0,5.0,2.0,5.0
449433.62,449.43,44.0,2.0,14.0,0.0,3.0
44242.01,44.24,25.5,2.0,5.0,6.0,9.0
73909.66,73.91,63.5,2.0,34.0,5.0,8.0
651469.99,651.47,36.0,3.0,16.0,6.0,9.0
36263.38,36.26,32.5,2.0,15.0,1.0,4.0
56049.18,56.05,33.0,2.0,6.0,2.0,5.0
33573.23,33.57,40.5,2.0,9.0,2.0,5.0
154685.38,154.69,34.0,5.0,7.0,6.0,9.0
68668.39,68.67,33.0,2.0,14.0,0.0,3.0
204074.51,204.07,45.5,3.0,21.0,2.0,5.0
540999.27,541.0,46.5,4.0,14.0,0.0,3.0
48020.17,48.02,39.5,2.0,4.0,2.0,5.0
292999.84,293.0,53.0,4.0,6.0,2.0,5.0
24526.63,24.53,64.0,2.0,14.0,3.0,6.0
50107.34,50.11,57.5,2.0,6.0,2.0,5.0
69551.63,69.55,34.0,2.0,6.0,2.0,5.0
43259.94,43.26,38.0,2.0,15.0,0.0,3.0
68557.87,68.56,33.0,3.0,12.0,0.0,3.0
51421.86,51.42,61.0,2.0,22.0,0.0,3.0
30011.01,30.01,39.5,2.0,16.0,0.0,3.0
246441.94,246.44,60.5,2.0,8.0,1.0,4.0
599596.0,599.6,49.5,3.0,15.0,5.0,8.0
36158.39,36.16,34.0,2.0,15.0,4.0,7.0
29921.01,29.92,22.5,2.0,9.0,2.0,5.0
203281.81,203.28,73.0,2.0,12.0,2.0,5.0
52195.41,52.2,26.0,2.0,5.0,6.0,9.0
81747.92,81.75,52.5,2.0,12.0,4.0,7.0
42495.75,42.5,60.5,2.0,16.0,5.0,8.0
37473.36,37.47,41.5,2.0,7.0,6.0,9.0
87581.62,87.58,38.0,2.0,12.0,6.0,9.0
333201.12,333.2,53.0,2.0,22.0,3.0,6.0
28116.18,28.12,71.5,2.0,5.0,1.0,4.0
64796.35,64.8,36.5,2.0,12.0,1.0,4.0
1011987.9,1011.99,68.5,2.0,19.0,1.0,4.0
84643.62,84.64,75.0,2.0,17.0,4.0,7.0
32837.59,32.84,30.5,3.0,6.0,2.0,5.0
77586.82,77.59,38.0,3.0,5.0,2.0,5.0
35999.8,36.0,55.5,2.0,17.0,1.0,4.0
49736.52,49.74,54.5,2.0,5.0,6.0,9.0
168308.27,168.31,59.5,3.0,13.0,3.0,6.0
35245.97,35.25,56.5,2.0,6.0,2.0,5.0
546640.27,546.64,47.5,3.0,11.0,6.0,9.0
29444.0,29.44,22.5,2.0,5.0,6.0,9.0
53608.52,53.61,52.0,2.0,12.0,1.0,4.0
33745.49,33.75,23.0,2.0,6.0,0.0,3.0
101087.46,101.09,44.5,2.0,13.0,2.0,5.0
30367.17,30.37,30.5,2.0,7.0,1.0,4.0
186952.05,186.95,42.5,2.0,21.0,2.0,5.0
110600.17,110.6,60.0,2.0,8.0,1.0,4.0
244709.87,244.71,37.5,2.0,9.0,4.0,7.0
227061.68,227.06,40.5,2.0,13.0,1.0,4.0
907955.19,907.96,57.0,2.0,26.0,6.0,9.0
142906.77,142.91,45.0,3.0,23.0,6.0,9.0
29568.68,29.57,35.5,2.0,5.0,3.0,6.0
80170.36,80.17,46.0,2.0,19.0,2.0,5.0
44063.2,44.06,39.0,2.0,4.0,1.0,4.0
151281.82,151.28,37.5,2.0,14.0,6.0,9.0
55197.62,55.2,38.5,3.0,16.0,1.0,4.0
318275.79,318.28,64.0,2.0,4.0,6.0,9.0
37518.19,37.52,68.5,2.0,15.0,2.0,5.0
657489.4,657.49,65.0,3.0,11.0,4.0,7.0
86291.02,86.29,45.5,2.0,9.0,1.0,4.0
75941.71,75.94,48.0,2.0,16.0,2.0,5.0
98193.97,98.19,30.5,3.0,8.0,3.0,6.0
37389.9,37.39,39.5,2.0,15.0,1.0,4.0
212026.03,212.03,48.5,2.0,8.0,2.0,5.0
30768.11,30.77,32.5,2.0,5.0,0.0,3.0
88475.92,88.48,50.5,2.0,13.0,0.0,3.0
35715.03,35.72,77.0,2.0,17.0,2.0,5.0
158016.46,158.02,75.5,2.0,10.0,2.0,5.0
73402.07,73.4,28.5,2.0,10.0,2.0,5.0
29439.18,29.44,53.0,2.0,6.0,2.0,5.0
300775.65,300.78,62.5,2.0,15.0,6.0,9.0
30116.53,30.12,18.5,2.0,4.0,1.0,4.0
128892.29,128.89,66.5,2.0,17.0,6.0,9.0
27061.15,27.06,61.5,2.0,4.0,1.0,4.0
145825.45,145.83,58.0,2.0,16.0,6.0,9.0
39626.15,39.63,43.5,2.0,4.0,3.0,6.0
54679.58,54.68,23.0,2.0,5.0,2.0,5.0
29694.52,29.69,31.0,2.0,16.0,3.0,6.0
43945.35,43.95,60.0,2.0,9.0,1.0,4.0
33910.2,33.91,29.0,2.0,5.0,1.0,4.0
48908.65,48.91,31.0,2.0,4.0,1.0,4.0
32514.65,32.51,25.0,2.0,4.0,1.0,4.0
119780.33,119.78,38.5,2.0,9.0,0.0,3.0
48603.84,48.6,30.0,2.0,6.0,0.0,3.0
89068.4,89.07,26.0,3.0,4.0,4.0,7.0
39393.59,39.39,28.0,2.0,6.0,6.0,9.0
69622.75,69.62,37.0,2.0,12.0,6.0,9.0
123529.96,123.53,63.5,2.0,18.0,6.0,9.0
48224.76,48.22,25.5,2.0,5.0,0.0,3.0
57493.67,57.49,50.5,2.0,23.0,4.0,7.0
27093.48,27.09,49.0,2.0,9.0,0.0,3.0
249961.95,249.96,55.5,2.0,20.0,6.0,9.0
37947.75,37.95,34.5,2.0,21.0,1.0,4.0
164535.2,164.54,63.5,2.0,10.0,1.0,4.0
46119.01,46.12,50.5,2.0,15.0,2.0,5.0
233146.94,233.15,61.5,4.0,15.0,3.0,7.0
103608.93,103.61,67.0,2.0,11.0,3.0,6.0
43070.88,43.07,29.5,2.0,8.0,2.0,5.0
102157.94,102.16,64.5,2.0,8.0,1.0,4.0
168686.21,168.69,47.0,2.0,4.0,6.0,9.0
81537.09,81.54,49.5,2.0,13.0,1.0,5.0
31672.16,31.67,25.0,2.0,4.0,1.0,4.0
38042.21,38.04,87.0,2.0,17.0,1.0,4.0
48738.8,48.74,65.5,2.0,16.0,0.0,3.0
630382.28,630.38,59.0,4.0,16.0,5.0,8.0
34983.12,34.98,21.5,3.0,13.0,6.0,9.0
99466.57,99.47,63.0,2.0,23.0,6.0,9.0
225374.96,225.37,81.0,2.0,8.0,1.0,5.0
34437.57,34.44,63.0,2.0,7.0,2.0,5.0
79738.98,79.74,37.0,2.0,13.0,6.0,9.0
79776.34,79.78,79.0,2.0,33.0,3.0,6.0
154833.55,154.83,62.0,2.0,8.0,6.0,9.0
33082.32,33.08,31.0,2.0,9.0,0.0,3.0
26545.6,26.55,34.5,2.0,5.0,1.0,4.0
33786.62,33.79,27.5,2.0,4.0,6.0,9.0
66316.4,66.32,30.5,3.0,4.0,6.0,9.0
29668.38,29.67,31.5,2.0,14.0,1.0,4.0
122661.95,122.66,61.5,2.0,16.0,6.0,9.0
132386.99,132.39,58.5,2.0,7.0,3.0,6.0
35723.35,35.72,64.5,2.0,13.0,1.0,4.0
94231.42,94.23,43.5,2.0,8.0,2.0,5.0
73116.54,73.12,87.5,2.0,26.0,3.0,6.0
46751.52,46.75,49.5,2.0,22.0,1.0,4.0
27418.97,27.42,29.0,2.0,4.0,6.0,9.0
101822.98,101.82,31.5,2.0,15.0,4.0,7.0
149308.29,149.31,29.0,2.0,8.0,5.0,8.0
41224.84,41.22,51.0,2.0,7.0,4.0,7.0
86568.95,86.57,39.0,3.0,14.0,6.0,9.0
42174.84,42.17,41.0,2.0,13.0,0.0,3.0
33975.68,33.98,71.0,2.0,15.0,5.0,8.0
55647.75,55.65,45.5,3.0,16.0,3.0,6.0
27228.04,27.23,43.0,2.0,8.0,1.0,4.0
